f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,class
12.76,0.34,-0.06,-0.40,0.34,-0.13,-0.47,-0.27,-0.47,0.88,0.13,0.53,-0.11,-1.57,0.53,-0.68,-5.41,0.36,-20.72,0.36,-9.34,33.93,-9.14,-33.91,33.93,-4.54,4.73,-0.82,-4.44,4.73,0.83,knuckle
25.52,0.06,0.09,-0.10,0.09,0.00,-0.16,-0.26,-0.26,0.63,0.05,-1.49,-0.63,-2.09,-0.63,-1.49,-4.27,-4.74,-14.44,-4.27,-7.22,14.30,-20.84,-36.00,14.30,-12.34,6.13,-3.63,-6.56,6.13,-0.57,knuckle
25.52,-0.11,-0.38,-0.38,0.23,-0.05,-0.26,0.43,-0.26,0.43,0.03,1.50,-0.57,-1.31,1.50,-0.39,-8.27,-8.67,-15.15,-7.80,-9.97,26.98,-20.34,-24.14,26.98,-2.84,3.05,-3.19,-3.19,4.25,2.06,knuckle
25.52,0.35,-0.22,-0.22,0.35,0.07,-0.04,0.41,-0.04,0.41,0.19,-0.55,-0.08,-0.55,-0.08,-0.32,-5.43,-4.19,-5.43,-4.19,-4.81,-6.01,-11.26,-11.26,-6.01,-8.63,1.79,0.78,0.78,1.79,1.28,knuckle
25.52,-0.46,0.20,-0.46,2.17,0.64,-0.78,-0.72,-0.78,1.55,0.02,-6.90,-3.39,-6.90,-3.39,-5.28,-49.84,6.63,-49.84,16.86,-8.78,152.29,-8.11,-8.11,152.29,68.95,0.42,2.15,-10.35,2.15,-2.60,knuckle
63.82,-1.10,0.28,-1.10,1.24,0.14,-0.82,-1.32,-1.32,0.29,-0.62,-1.87,-4.33,-6.59,-1.87,-4.26,-55.68,3.13,-55.68,10.40,-14.05,120.56,-6.24,-6.24,120.56,50.00,5.97,11.35,-4.38,11.35,4.32,knuckle
76.58,1.95,0.23,0.23,1.95,0.87,0.58,0.14,-0.79,0.58,-0.02,-4.28,-2.33,-4.28,-2.33,-3.32,-1.06,-21.40,-21.40,-1.06,-9.72,12.80,-52.72,-52.72,12.80,-16.66,-4.44,4.23,-4.44,8.71,2.84,knuckle
38.29,0.18,0.33,0.18,0.33,0.27,-0.60,1.07,-0.60,1.07,0.02,-5.74,-2.90,-5.74,-2.90,-4.14,15.00,-19.46,-19.46,15.00,-1.90,29.66,-66.81,-66.81,29.66,-20.06,-0.01,1.40,-0.01,4.88,2.09,knuckle
25.52,-1.15,1.28,-1.15,1.28,0.06,-0.89,0.38,-0.89,0.38,-0.26,5.11,-3.31,-3.31,5.11,0.90,-21.53,-10.43,-21.53,-10.43,-15.98,52.55,-16.26,-16.26,52.55,18.14,0.06,12.84,0.06,12.84,6.45,knuckle
25.52,0.63,-0.23,-0.23,1.61,0.67,-1.70,0.11,-1.70,2.03,0.15,-1.61,-1.73,-5.64,-1.61,-2.99,-29.53,-9.58,-29.53,-5.67,-14.93,58.09,-25.81,-25.81,58.09,14.89,11.71,0.18,0.18,13.96,8.62,knuckle
25.52,-1.96,-0.45,-1.96,3.04,0.21,-3.28,-0.22,-3.28,-0.22,-1.30,-1.32,-4.08,-7.97,-1.32,-4.46,-49.28,11.31,-49.28,11.31,-19.43,95.19,-5.55,-5.55,95.19,40.17,8.25,5.33,5.33,9.93,7.84,knuckle
25.52,1.71,0.76,0.65,1.71,1.18,-1.15,0.52,-1.15,0.64,-0.15,6.75,-1.65,-4.15,6.75,-0.37,-49.36,-11.68,-49.36,39.08,-1.21,147.73,-52.58,-52.58,147.73,36.97,5.21,-2.81,-4.79,5.21,0.01,knuckle
25.52,0.02,-0.02,-0.02,0.89,0.41,0.09,0.49,-0.55,0.49,0.07,-6.99,-1.92,-6.99,-1.92,-3.62,-7.39,-18.56,-18.56,7.24,-8.26,33.78,-75.37,-75.37,33.78,-19.76,-7.26,-5.81,-7.26,2.05,-3.20,knuckle
38.29,0.53,1.53,0.53,1.53,1.03,0.55,-0.19,-0.19,0.55,0.18,-8.38,-3.88,-8.38,-3.88,-6.13,8.03,6.02,6.02,8.03,7.02,-3.78,-15.69,-15.69,-3.78,-9.74,-14.03,-6.56,-14.03,-6.56,-10.29,knuckle
25.52,0.06,0.52,-0.21,0.67,0.24,0.24,-0.54,-0.54,0.61,0.04,-2.53,-0.20,-2.53,-0.20,-1.50,7.36,4.82,-9.96,7.36,0.07,16.86,-18.79,-40.47,16.86,-12.12,-6.23,-3.99,-6.98,-0.44,-3.68,knuckle
25.52,0.20,0.06,0.06,0.59,0.23,-0.46,-0.31,-0.59,0.19,-0.30,-1.12,-0.12,-1.12,-0.12,-0.84,6.39,-2.66,-9.13,6.39,-2.69,-0.82,-11.64,-26.92,-0.82,-12.26,-6.52,-3.37,-6.52,1.86,-2.30,knuckle
25.52,0.40,0.18,-0.24,0.40,0.11,-0.30,-0.41,-0.41,0.53,-0.11,-1.75,-0.04,-1.75,-0.04,-0.85,-4.94,1.72,-8.26,2.33,-2.92,11.41,0.24,-20.22,11.41,-5.61,-2.52,-1.25,-4.01,-1.25,-2.26,knuckle
25.52,0.02,0.40,-0.21,0.40,0.02,0.19,-0.54,-0.54,0.50,0.07,-2.95,-0.42,-2.95,-0.42,-1.43,-13.60,-1.99,-13.60,6.18,-6.37,29.19,-13.77,-32.83,29.19,-5.31,2.72,-3.17,-5.68,2.72,-1.80,knuckle
25.52,0.51,-0.10,-0.18,0.61,0.16,-0.46,0.08,-0.46,0.15,-0.04,-0.00,0.32,-0.16,0.32,0.12,1.50,-3.13,-3.13,2.95,0.20,0.74,-0.54,-5.90,1.60,-1.63,0.96,-0.76,-0.76,3.34,1.83,knuckle
25.52,0.11,-0.08,-0.22,0.12,-0.03,-0.09,-0.11,-0.15,0.28,-0.04,-1.34,-0.84,-1.34,0.10,-0.72,7.69,7.47,-6.99,7.69,1.57,5.91,-3.30,-6.38,7.52,-0.12,1.28,-0.73,-2.02,7.08,0.84,knuckle
25.52,-0.17,0.20,-0.17,0.58,0.20,-0.78,0.27,-0.78,0.27,-0.14,-3.83,-0.03,-3.83,-0.03,-1.81,-1.08,-2.25,-2.25,24.67,7.11,9.27,-5.78,-5.78,9.78,4.42,-3.02,-2.33,-3.02,4.94,-0.14,knuckle
25.52,0.61,-0.24,-0.32,0.61,0.05,0.27,0.21,-0.35,0.38,0.12,-3.75,-0.69,-3.75,-0.69,-2.15,-8.96,-15.07,-15.07,13.01,-4.37,23.93,-38.80,-38.80,23.93,-7.76,-0.39,-5.89,-5.89,1.33,-1.85,knuckle
25.52,0.05,-0.27,-0.27,0.14,-0.05,0.02,0.02,-0.26,0.35,0.02,-0.45,-0.07,-0.95,-0.07,-0.59,-0.76,3.39,-11.87,3.39,-4.68,14.81,1.35,-24.05,14.81,-7.32,-3.70,1.78,-3.70,4.86,-0.60,knuckle
25.52,0.16,-0.16,-0.46,0.16,-0.13,-0.03,-0.31,-0.31,0.13,-0.06,-0.52,-0.56,-1.66,-0.13,-0.62,-11.75,1.69,-11.75,2.39,-3.50,21.14,-17.63,-17.63,21.14,1.19,2.33,-3.73,-3.73,2.33,-1.33,knuckle
25.52,0.01,0.00,0.00,0.01,0.01,-0.25,0.28,-0.25,0.28,0.01,-3.02,-1.35,-3.02,-1.35,-2.18,4.07,26.62,4.07,26.62,15.34,-11.41,-12.62,-12.62,-11.41,-12.01,0.72,0.60,0.60,0.72,0.66,pad
25.52,0.50,0.22,-0.35,0.50,0.15,-0.14,0.21,-0.30,0.21,-0.02,-1.42,-0.32,-2.62,-0.32,-1.60,-20.64,26.88,-20.64,26.88,2.28,-10.00,-13.47,-14.91,-10.00,-12.88,1.91,4.10,0.16,4.10,1.74,pad
25.52,0.35,-0.09,-0.09,0.35,0.13,-0.27,-0.13,-0.27,-0.13,-0.20,-2.25,-3.23,-3.23,-2.25,-2.74,-19.07,9.72,-19.07,9.72,-4.67,-12.09,-20.93,-20.93,-12.09,-16.51,-1.13,-0.41,-1.13,-0.41,-0.77,pad
25.52,0.13,0.04,0.04,0.19,0.12,-0.28,0.26,-0.28,0.26,-0.10,-2.26,-0.42,-2.45,-0.42,-1.71,-10.43,23.11,-10.43,23.11,6.57,-5.89,-11.02,-11.02,-5.89,-9.14,-1.14,2.15,-1.14,2.15,0.34,pad
25.52,0.24,0.11,0.11,0.24,0.18,-0.35,-0.26,-0.35,-0.26,-0.30,-2.15,-2.44,-2.44,-2.15,-2.30,-4.07,6.59,-4.07,6.59,1.26,-9.44,-12.15,-12.15,-9.44,-10.79,-0.25,-0.10,-0.25,-0.10,-0.18,pad
25.52,0.44,0.17,0.17,0.44,0.31,-0.31,-0.28,-0.31,-0.28,-0.30,-2.27,-2.36,-2.36,-2.27,-2.32,-0.89,12.84,-0.89,12.84,5.98,-8.84,-9.24,-9.24,-8.84,-9.04,0.16,-0.20,-0.20,0.16,-0.02,pad
25.52,0.26,0.01,0.01,0.30,0.19,-0.33,0.22,-0.33,0.22,-0.14,-1.55,-1.90,-3.08,-1.55,-2.18,-16.09,22.39,-16.09,22.39,1.05,1.57,-14.20,-14.20,1.57,-8.33,0.30,0.49,0.30,0.56,0.45,pad
25.52,0.06,0.09,-0.08,0.26,0.09,-0.32,0.39,-0.41,0.39,-0.08,-0.45,1.25,-2.50,1.25,-0.92,-12.58,23.02,-12.58,23.02,5.40,-0.40,-8.52,-11.87,-0.40,-8.09,-0.57,3.92,-0.98,3.92,0.78,pad
25.52,0.60,-0.10,-0.11,0.60,0.13,-0.67,0.42,-0.67,0.42,-0.07,-2.42,0.94,-2.42,0.94,-0.90,-1.50,15.57,-1.50,18.89,10.99,-7.80,-11.67,-11.67,-7.80,-9.41,0.27,2.11,0.27,2.11,1.16,pad
25.52,-0.33,-0.01,-0.33,0.18,-0.01,0.05,0.26,-0.20,0.26,-0.01,0.19,0.28,-1.98,0.28,-0.68,-13.94,16.53,-13.94,16.53,-1.10,0.59,-11.61,-11.61,0.59,-6.90,-0.10,3.29,-0.35,3.29,0.87,pad
25.52,-0.68,-0.62,-0.68,-0.62,-0.65,1.76,1.51,1.51,1.76,1.64,-5.53,-1.59,-5.53,-1.59,-3.56,31.70,44.04,31.70,44.04,37.87,-52.91,-54.71,-54.71,-52.91,-53.81,-12.25,-13.49,-13.49,-12.25,-12.87,knuckle
25.52,0.96,-0.84,-0.84,0.96,0.19,0.17,2.14,0.17,2.14,1.06,-4.54,-1.71,-8.56,-1.71,-5.72,-70.80,59.49,-70.80,59.49,-12.06,56.67,-65.97,-65.97,56.67,-7.20,12.40,-13.94,-13.94,12.40,2.37,knuckle
25.52,0.27,0.27,0.27,0.27,0.27,0.59,0.59,0.59,0.59,0.59,-2.27,-2.27,-2.27,-2.27,-2.27,3.16,3.16,3.16,3.16,3.16,-15.78,-15.78,-15.78,-15.78,-15.78,4.34,4.34,4.34,4.34,4.34,knuckle
25.52,0.35,0.41,0.35,0.41,0.38,-1.06,0.63,-1.06,0.63,-0.21,-2.59,-5.07,-5.07,-2.59,-3.83,-34.42,0.72,-34.42,0.72,-16.85,15.58,-31.43,-31.43,15.58,-7.92,1.19,7.77,1.19,7.77,4.48,knuckle
25.52,0.03,-0.47,-0.47,0.03,-0.26,0.56,1.10,0.56,1.35,1.01,-4.59,-1.36,-5.87,-1.36,-3.94,-44.57,34.30,-44.57,34.30,-6.39,9.85,-43.26,-43.26,9.85,-21.96,12.65,-5.12,-5.12,12.65,2.17,knuckle
25.52,0.00,-0.28,-0.28,0.00,-0.16,-1.34,0.89,-1.34,0.89,0.17,-0.39,-0.22,-4.23,-0.22,-2.18,-29.97,19.95,-29.97,19.95,-5.59,31.88,-37.55,-37.55,31.88,-9.35,11.28,-4.35,-4.35,11.28,1.82,knuckle
25.52,0.26,-0.52,-0.52,0.26,-0.08,-0.46,0.84,-0.46,0.84,0.36,-3.21,-1.58,-4.92,-1.58,-3.24,-24.13,26.10,-24.13,26.10,0.25,7.64,-26.83,-26.83,7.64,-10.80,5.46,-2.07,-2.07,5.46,1.84,knuckle
25.52,0.07,-0.16,-0.22,0.07,-0.10,0.20,0.64,0.20,0.64,0.49,-3.06,-2.80,-4.31,-2.80,-3.39,-34.24,21.69,-34.24,21.69,-5.34,5.47,-34.45,-34.45,5.47,-17.48,5.75,-6.35,-6.35,5.75,-1.62,knuckle
25.52,0.03,-0.42,-0.42,0.03,-0.27,0.07,0.53,0.07,0.53,0.29,-4.65,0.22,-4.65,0.22,-2.46,-9.17,4.49,-9.17,5.60,1.15,-21.15,-88.96,-91.14,-21.15,-66.07,3.51,-9.49,-9.49,3.51,-2.75,knuckle
25.52,0.13,-0.53,-0.53,0.13,-0.25,0.01,0.67,0.01,0.69,0.45,-4.41,0.77,-4.41,0.77,-1.58,13.02,16.37,13.02,20.93,16.77,-28.41,-47.09,-50.14,-28.41,-41.88,2.91,-4.55,-4.55,2.91,-1.14,knuckle
25.52,1.17,-0.03,-0.15,1.17,0.09,-0.76,0.28,-0.76,0.37,0.04,-2.30,-0.03,-3.95,-0.03,-2.13,-37.55,12.73,-37.55,16.56,-5.99,61.11,-47.70,-47.70,61.11,-8.82,8.44,-7.36,-7.36,8.44,-0.55,knuckle
25.52,0.38,-0.19,-0.50,0.80,0.12,-1.70,-0.07,-1.70,0.60,-0.00,1.37,1.58,-2.70,1.58,-0.79,-31.99,4.80,-31.99,11.63,-6.50,95.35,-37.49,-52.99,95.35,-8.26,9.19,-5.03,-5.07,9.19,2.20,knuckle
25.52,1.57,-0.52,-0.52,1.57,0.54,-0.13,0.65,-0.14,0.65,0.16,-4.93,-0.15,-4.93,-0.15,-3.12,-32.00,18.31,-32.00,18.83,-4.52,17.24,-32.08,-32.08,17.24,-8.78,1.30,0.97,0.97,5.74,2.81,knuckle
12.76,0.12,-0.06,-0.55,0.48,-0.15,-1.28,0.03,-1.28,0.53,0.09,3.94,0.61,-4.25,3.94,-0.81,11.56,4.99,-42.05,11.56,-1.44,72.32,-31.90,-37.93,72.32,-5.88,6.21,-10.44,-10.44,9.74,-0.49,knuckle
25.52,1.12,-0.26,-0.51,1.12,0.02,-1.30,-0.00,-1.30,0.36,-0.08,3.70,0.02,-3.93,3.70,-0.47,-10.06,7.22,-37.25,9.34,-4.64,59.44,-24.82,-26.40,59.44,-3.83,5.39,-7.29,-7.29,12.82,1.00,knuckle
25.52,0.36,-0.65,-1.01,0.96,-0.06,-0.64,0.72,-0.72,0.73,0.07,3.52,0.09,-2.67,3.52,-0.73,-13.75,30.93,-32.86,30.93,-3.04,65.72,-64.28,-74.36,71.47,-1.32,1.71,-11.74,-11.74,12.73,0.76,knuckle
25.52,0.85,-0.92,-1.20,1.13,-0.01,-1.32,1.26,-1.32,1.26,0.07,2.00,-2.54,-3.40,2.00,-1.34,-32.51,33.40,-37.97,33.40,-7.55,86.77,-110.42,-110.42,86.77,3.57,11.35,-8.31,-13.10,11.75,1.02,knuckle
25.52,0.57,-0.37,-0.57,0.57,-0.14,-3.00,0.85,-3.00,1.07,0.14,5.04,-1.47,-6.72,5.04,-2.94,-76.27,51.84,-78.29,51.84,-10.68,79.91,-74.33,-74.33,79.91,-3.27,3.22,-12.54,-12.54,11.47,-0.83,knuckle
25.52,0.51,-0.44,-0.44,1.17,0.02,-1.41,0.91,-1.41,1.36,0.19,9.51,-0.94,-3.48,9.51,-0.92,-24.77,33.75,-51.49,33.75,-7.49,123.26,-83.67,-83.67,123.26,9.84,9.43,-11.85,-11.85,18.69,2.73,knuckle
25.52,1.20,-0.71,-0.71,1.20,0.08,0.24,1.55,0.24,1.55,0.79,-6.13,-3.16,-7.33,-3.16,-5.53,-54.80,41.61,-54.80,41.61,0.76,60.68,-61.17,-61.17,60.68,-3.41,10.23,-4.54,-4.54,10.23,5.10,knuckle
25.52,0.01,0.38,-0.34,0.44,0.03,-0.38,0.06,-0.57,0.19,-0.04,1.56,-1.06,-2.10,1.56,-0.60,-13.01,21.40,-13.01,21.40,-4.54,22.34,-25.20,-25.20,22.34,4.56,5.85,-1.26,-1.97,5.97,1.85,pad
25.52,0.37,0.21,0.21,0.39,0.32,-0.40,0.01,-0.40,0.01,-0.17,-0.21,-3.94,-3.94,-0.21,-2.25,-18.38,-2.64,-18.38,-2.64,-12.44,12.52,-34.64,-34.64,12.52,-11.41,-0.52,0.33,-0.52,0.83,0.21,pad
25.52,0.90,-0.03,-0.03,1.14,0.67,-0.67,0.44,-0.67,0.44,-0.22,-1.94,-5.69,-5.69,-1.94,-3.80,-31.91,-0.90,-31.91,-0.90,-19.68,12.14,-55.47,-55.47,12.14,-21.33,2.79,6.83,2.79,6.83,4.93,pad
38.29,0.85,-0.36,-0.36,0.85,0.25,-0.64,0.73,-0.64,0.73,0.05,-3.02,-4.97,-4.97,-3.02,-4.00,-29.13,15.62,-29.13,15.62,-6.76,-26.39,-31.19,-31.19,-26.39,-28.79,5.90,8.79,5.90,8.79,7.34,pad
25.52,0.41,-0.11,-0.11,0.41,0.15,-0.21,0.39,-0.21,0.39,0.09,-1.89,-1.61,-1.89,-1.61,-1.75,-9.85,0.82,-9.85,0.82,-4.51,-7.97,-28.61,-28.61,-7.97,-18.29,2.94,2.33,2.33,2.94,2.63,pad
25.52,0.04,0.06,-0.16,0.30,0.11,0.32,0.39,-0.38,0.39,0.11,-0.16,-0.59,-2.06,-0.16,-1.21,-12.74,24.16,-20.73,24.16,-1.13,4.84,-2.64,-7.69,4.84,-1.59,3.98,2.84,-2.92,3.98,1.04,pad
25.52,1.43,-0.29,-0.29,1.78,0.52,-0.82,0.84,-0.82,0.84,-0.04,0.40,0.61,-2.49,0.61,-1.09,-38.38,23.87,-38.38,29.80,-1.08,-4.75,-15.26,-15.26,-3.40,-9.20,-2.98,1.58,-2.98,6.66,2.29,pad
25.52,0.63,-0.30,-0.30,0.63,0.00,-0.60,0.18,-0.60,0.21,0.00,-1.10,-1.28,-1.78,-1.10,-1.42,-15.74,22.59,-15.74,22.59,4.42,-1.74,-17.69,-18.22,-1.74,-11.52,3.22,1.26,1.05,3.61,2.28,pad
25.52,0.69,0.13,-0.21,0.74,0.20,-0.28,0.32,-0.41,0.32,0.01,-0.72,0.45,-1.95,0.45,-0.91,-21.65,14.93,-21.65,15.12,-1.42,4.42,-9.26,-9.26,4.42,-4.49,1.04,1.07,0.71,2.29,1.16,pad
25.52,0.08,-0.26,-0.42,0.49,-0.02,-0.39,0.36,-0.39,0.40,0.05,1.04,-0.51,-1.78,1.04,-0.78,-11.72,16.97,-22.52,16.97,-4.71,11.54,-3.66,-12.40,11.54,-5.29,4.97,-0.19,-1.65,4.97,1.50,pad
38.29,-0.12,-0.11,-0.48,-0.11,-0.24,0.34,0.49,0.34,0.85,0.56,-3.45,-1.01,-3.45,-1.01,-2.55,7.84,32.80,7.84,32.80,19.65,-2.83,-15.85,-15.85,-2.83,-10.76,3.91,-5.72,-5.72,3.91,-0.68,pad
38.29,-0.93,-0.23,-1.13,0.14,-0.42,1.63,0.44,-0.42,1.63,0.28,1.47,2.60,-5.45,2.60,-1.95,-56.60,40.86,-56.60,56.11,4.63,78.88,-35.68,-39.55,78.88,2.45,20.12,-3.98,-7.13,20.12,-0.18,pad
25.52,0.45,-0.72,-1.18,0.45,-0.43,0.11,0.68,0.06,0.82,0.41,1.07,-1.08,-3.05,1.07,-1.26,-16.08,20.88,-21.56,20.88,-5.11,49.09,-65.48,-65.48,49.09,-3.46,18.45,-16.34,-16.34,18.45,3.50,pad
38.29,-1.41,0.35,-1.41,0.35,-0.71,-0.13,-0.20,-0.20,0.91,0.38,-6.77,1.61,-6.77,1.61,-1.87,-39.93,13.30,-39.93,37.81,11.75,25.05,10.57,-25.18,25.05,-1.30,11.12,-13.58,-13.58,11.12,-2.70,pad
25.52,1.10,-0.49,-0.88,1.10,-0.28,-0.44,0.36,-0.44,0.57,0.25,2.48,2.78,-3.59,2.78,-0.61,-6.81,32.85,-18.31,32.85,1.59,47.23,-20.45,-51.27,47.48,-1.52,17.17,-13.68,-13.68,17.17,-0.16,pad
38.29,0.02,0.55,-1.17,0.55,-0.42,1.30,-0.42,-0.42,1.30,0.42,-1.14,0.84,-3.25,0.84,-1.21,-60.60,24.89,-60.60,28.69,1.61,21.23,-2.43,-18.99,21.23,-0.03,21.08,-9.53,-10.16,21.08,0.10,pad
38.29,0.47,0.86,-1.03,0.98,-0.14,-1.13,-0.26,-1.13,0.79,0.17,2.63,0.81,-4.38,2.63,-0.38,11.21,18.39,-34.72,18.44,2.65,11.11,7.40,-20.28,25.73,1.50,-0.11,-9.88,-12.81,19.71,-2.05,pad
38.29,1.98,0.26,-0.80,1.98,-0.15,-2.05,-0.43,-2.05,0.55,0.02,4.44,2.11,-2.14,4.44,-0.53,-34.07,24.76,-34.07,32.70,0.72,46.10,-11.15,-22.39,46.10,1.48,20.85,-9.03,-11.53,20.85,0.36,pad
38.29,3.80,0.27,-1.48,3.80,-0.18,-2.20,-0.21,-2.20,1.09,0.12,7.02,0.60,-5.67,7.02,-0.53,-67.90,25.42,-67.90,26.91,-1.94,13.60,1.41,-24.72,13.60,-1.99,29.89,-8.55,-10.50,29.89,2.68,pad
38.29,-0.23,-0.22,-1.65,2.58,-0.40,0.33,-0.39,-0.78,0.94,0.36,0.53,1.16,-4.66,4.88,-0.50,17.94,22.31,-41.78,22.31,1.17,-3.84,10.00,-23.77,32.89,-0.43,0.80,-13.88,-13.88,30.63,0.03,pad
25.52,0.49,-0.14,-0.14,1.18,0.51,-1.49,0.15,-1.49,0.15,-0.73,2.07,-3.96,-3.96,2.07,-1.41,-10.28,-2.57,-32.10,-2.57,-14.99,42.86,-34.44,-34.44,42.86,2.61,-1.56,3.34,-1.56,7.41,3.06,knuckle
25.52,0.65,-0.74,-0.74,0.65,-0.04,-1.54,1.07,-1.54,1.07,0.11,2.91,0.83,-5.51,2.91,-1.79,-53.62,28.80,-53.62,28.80,-6.77,33.05,-33.20,-33.20,33.05,-5.18,3.50,-4.94,-4.94,8.17,2.34,knuckle
25.52,0.07,-0.09,-0.09,0.85,0.19,0.83,0.40,-0.46,0.83,0.09,6.79,-2.00,-2.67,6.79,1.05,1.46,1.70,-21.96,1.70,-7.62,6.45,-24.39,-24.39,21.84,2.73,0.14,4.36,0.14,5.33,2.59,knuckle
38.29,1.62,-0.60,-0.97,1.62,0.07,-0.41,0.85,-0.47,1.08,0.41,-5.75,-0.74,-6.32,-0.74,-3.84,-92.72,24.60,-92.72,34.24,-12.73,26.63,-55.52,-55.52,26.63,-20.21,3.66,-11.33,-11.33,7.21,-0.16,knuckle
38.29,2.05,0.69,0.69,2.05,1.31,-0.79,0.32,-0.79,0.32,-0.24,-6.63,-1.53,-6.63,-1.53,-4.38,-21.23,49.70,-21.23,49.70,22.94,-16.82,-49.89,-49.89,-16.82,-30.21,-12.15,-5.60,-12.15,-5.60,-8.41,knuckle
25.52,0.28,-0.95,-0.95,1.96,0.47,-1.69,1.75,-1.69,1.75,-0.05,2.53,-2.26,-9.09,2.53,-3.33,-86.69,56.12,-86.69,56.12,-19.24,57.48,-69.62,-69.62,57.48,-8.20,-11.09,7.89,-11.09,16.10,6.79,knuckle
25.52,1.62,-0.35,-0.35,1.62,0.50,0.15,1.17,0.15,1.17,0.58,-8.18,-2.17,-8.18,-2.17,-5.13,-48.73,16.26,-48.73,16.26,-12.34,-0.69,-99.37,-99.37,-0.69,-64.04,5.57,3.07,3.07,5.57,4.36,knuckle
25.52,0.56,-0.28,-0.32,0.74,0.15,0.17,0.71,-1.13,0.73,0.17,5.76,1.39,-5.91,5.76,-0.92,-4.83,25.93,-35.20,27.17,-2.00,54.97,-55.60,-69.25,86.95,3.54,3.25,-9.19,-9.19,3.25,-1.85,knuckle
25.52,0.18,-0.20,-0.68,0.51,0.05,-0.30,0.44,-1.27,0.59,0.04,4.05,1.85,-4.81,4.05,-0.65,1.88,21.84,-30.46,23.58,-1.23,49.11,-47.53,-57.53,69.28,-1.88,5.81,-5.89,-5.89,5.81,0.63,knuckle
25.52,0.06,-0.35,-0.35,1.13,0.04,-2.00,0.79,-2.00,0.93,0.22,5.13,0.18,-5.67,5.13,-2.18,-31.57,40.17,-51.85,40.17,-5.12,106.27,-46.67,-48.09,106.27,3.05,9.30,-6.99,-6.99,9.30,2.39,knuckle
51.05,1.25,0.54,0.54,2.13,1.31,-1.00,0.04,-1.00,0.31,-0.22,-3.06,-3.41,-3.85,-3.06,-3.44,-11.36,-16.60,-16.60,-11.36,-14.59,66.97,-20.86,-20.86,66.97,19.28,-7.46,12.06,-7.46,12.06,1.82,knuckle
25.52,-0.44,-0.43,-0.44,1.37,0.24,-1.92,0.95,-1.92,0.95,-0.40,-0.29,-1.65,-4.01,-0.29,-2.44,-26.11,14.74,-32.60,14.74,-18.85,95.53,-39.73,-39.73,95.53,7.91,8.60,5.71,-0.61,16.24,7.49,knuckle
25.52,-0.22,-0.39,-0.40,0.82,-0.01,-0.98,0.10,-1.56,0.65,-0.05,4.00,1.49,-4.40,4.00,-1.02,5.34,21.75,-44.95,27.26,-1.44,126.73,-42.58,-50.57,126.73,6.20,11.80,-4.48,-4.48,14.65,6.13,knuckle
25.52,0.62,-0.18,-0.18,0.62,0.11,0.89,0.82,0.55,0.89,0.75,-5.89,-1.11,-5.89,-1.11,-4.02,-30.45,32.56,-30.45,32.56,-1.01,-38.08,-43.14,-52.55,-38.08,-44.59,8.16,2.29,2.29,8.16,4.83,knuckle
38.29,3.39,-0.14,-1.01,3.39,0.13,-2.80,0.39,-2.80,1.64,-0.03,6.90,-1.23,-4.01,6.90,-1.25,-44.49,22.21,-44.49,22.21,-16.90,69.43,-48.06,-48.06,69.43,0.76,29.92,-2.32,-2.32,29.92,8.57,pad
51.05,-1.62,-0.16,-1.62,-0.11,-0.73,1.68,0.84,0.16,1.68,0.79,-5.04,2.29,-5.42,2.29,-2.85,-38.41,42.83,-38.41,42.83,12.67,35.59,-26.31,-42.41,35.59,-14.82,11.42,-8.88,-12.12,11.42,-4.39,pad
51.05,-0.56,0.03,-0.56,0.03,-0.27,1.10,-1.02,-1.02,1.10,0.04,-1.84,-2.60,-2.60,-1.84,-2.22,-18.38,-11.70,-18.38,-11.70,-15.04,-1.44,-33.78,-33.78,-1.44,-17.61,-0.94,-5.20,-5.20,-0.94,-3.07,pad
38.29,0.25,-1.60,-1.60,0.25,-0.67,1.03,0.17,0.17,1.03,0.60,-1.80,-4.98,-4.98,-1.80,-3.39,-41.14,-32.91,-41.14,-32.91,-37.02,23.94,-13.73,-13.73,23.94,5.11,27.10,16.73,16.73,27.10,21.92,pad
51.05,-0.75,0.70,-0.92,0.70,-0.32,1.05,-0.27,-0.27,1.05,0.30,-3.04,-1.97,-5.26,-1.97,-3.42,-40.10,28.50,-40.10,28.50,0.55,10.50,-2.25,-2.25,12.17,6.81,1.08,-5.08,-6.90,1.08,-3.63,pad
51.05,0.30,0.05,-0.93,0.43,-0.22,0.54,0.03,-0.23,0.77,0.25,1.16,-0.25,-2.78,1.16,-1.08,-25.96,28.96,-28.54,28.96,-7.09,46.60,-49.57,-50.22,46.60,-2.37,15.07,-11.92,-12.73,15.07,3.88,pad
38.29,-0.12,0.35,-0.12,0.87,0.33,-0.21,-0.29,-0.70,-0.04,-0.27,2.71,-2.43,-4.89,2.71,-1.69,4.30,35.70,-8.52,35.70,7.51,78.24,-67.34,-67.34,78.24,10.36,2.55,5.26,-0.42,5.26,1.97,pad
25.52,0.08,0.78,0.08,0.81,0.56,0.08,0.05,-0.62,0.08,-0.17,-2.49,-2.09,-3.77,-2.09,-2.79,-6.01,4.98,-15.35,4.98,-5.46,25.52,-53.42,-53.42,25.52,-19.88,-4.68,7.02,-4.68,7.02,-0.21,pad
